id,homeoffice,vertragsart,erfahrungslevel,gehalt_min_eur,gehalt_zeitraum,skills_top3,notiz
15939-BB-633097-7878-9999-S,teilweise,festanstellung,mid,,,datenanalyse|datenmodellierung|opus suite,
15939-BB-633095-7878-7490-S,teilweise,festanstellung,senior,,,python|opus suite|datenanalyse,
15939-BB-633455-7878-6343-S,nicht_genannt,festanstellung,senior,,,data engineering|lakehouse|data pipelines,
15939-BB-633457-7878-2175-S,nicht_genannt,festanstellung,senior,,,mlops|machine learning|containerization,
18777-931781141-S,nicht_genannt,festanstellung,nicht_genannt,,,polarion|doors|requirements management,
13999-k53401.30280-S,teilweise,festanstellung,senior,55000,jahr,excel|erp|business intelligence,
15939-BB-632493-7878-9058-S,nein,praktikum,junior,,,excel|powerpoint,
13635-7fbe73ac_JB5131141-S,remote,festanstellung,nicht_genannt,,,python|tensorflow|pytorch,
20536-lutif851vc-S,teilweise,sonstiges,nicht_genannt,,,machine learning|datenanalyse,
12826-SA0136034_JB5125696-S,nicht_genannt,festanstellung,nicht_genannt,,,windows server|linux|office 365,
13509-00002110865001-S,teilweise,festanstellung,senior,,,java|kubernetes|ci/cd,
12862-244829-S,teilweise,festanstellung,nicht_genannt,45000,jahr,windows|itil|ticketsysteme,
,,,,,,,
